Gss year for this respondent                       ,Respondent id number,How often r attends religious services,Ballot used for interview,Respondents sex
1972,90,Nrly every week,Not applicable,Female
1972,91,Sevrl times a yr,Not applicable,Male
1972,92,Once a year,Not applicable,Female
1972,93,More thn once wk,Not applicable,Female
1972,94,Never,Not applicable,Male
1972,95,2-3x a month,Not applicable,Female
1972,96,Once a year,Not applicable,Male
1972,97,Sevrl times a yr,Not applicable,Male
1972,98,2-3x a month,Not applicable,Female
1972,99,Once a year,Not applicable,Male
1972,100,Every week,Not applicable,Female
1972,101,Sevrl times a yr,Not applicable,Male
1972,102,Once a year,Not applicable,Male
1972,103,Lt once a year,Not applicable,Female
1972,104,Once a month,Not applicable,Male
1972,105,Lt once a year,Not applicable,Male
1972,106,Never,Not applicable,Female
1972,107,2-3x a month,Not applicable,Female
1972,108,Every week,Not applicable,Female
1972,109,Every week,Not applicable,Female
1972,110,Lt once a year,Not applicable,Male
1972,111,Lt once a year,Not applicable,Male
1972,112,Sevrl times a yr,Not applicable,Male
1972,113,Lt once a year,Not applicable,Female
1972,114,Lt once a year,Not applicable,Male
1972,115,Once a year,Not applicable,Male
1972,116,Never,Not applicable,Female
1972,117,Lt once a year,Not applicable,Male
1972,118,Every week,Not applicable,Female
1972,119,Every week,Not applicable,Female
1972,120,Lt once a year,Not applicable,Female
1972,121,Lt once a year,Not applicable,Female
1972,122,More thn once wk,Not applicable,Male
1972,123,Once a month,Not applicable,Male
1972,124,Every week,Not applicable,Male
1972,125,2-3x a month,Not applicable,Female
1972,126,Never,Not applicable,Female
1972,127,Sevrl times a yr,Not applicable,Female
1972,128,Every week,Not applicable,Female
1972,129,Every week,Not applicable,Female
1972,130,Lt once a year,Not applicable,Male
1972,131,2-3x a month,Not applicable,Male
1972,132,Every week,Not applicable,Male
1972,133,Nrly every week,Not applicable,Male
1972,134,2-3x a month,Not applicable,Female
1972,135,Once a year,Not applicable,Female
1972,136,Lt once a year,Not applicable,Male
1972,137,Sevrl times a yr,Not applicable,Female
1972,138,Lt once a year,Not applicable,Male
1972,139,Every week,Not applicable,Female
1972,140,Lt once a year,Not applicable,Male
1972,141,Lt once a year,Not applicable,Male
1972,142,Lt once a year,Not applicable,Female
1972,143,Once a year,Not applicable,Male
1972,144,Sevrl times a yr,Not applicable,Female
1972,145,Every week,Not applicable,Female
1972,146,Nrly every week,Not applicable,Female
1972,147,Nrly every week,Not applicable,Male
1972,148,Lt once a year,Not applicable,Male
1972,149,Once a year,Not applicable,Male
1972,150,Every week,Not applicable,Female
1972,151,"Dk,na",Not applicable,Male
1972,152,Every week,Not applicable,Male
1972,153,Every week,Not applicable,Female
1972,154,Every week,Not applicable,Female
1972,155,Sevrl times a yr,Not applicable,Female
1972,156,Once a year,Not applicable,Female
1972,157,Nrly every week,Not applicable,Female
1972,158,Never,Not applicable,Female
1972,159,Sevrl times a yr,Not applicable,Male
1972,160,Never,Not applicable,Female
1972,161,Sevrl times a yr,Not applicable,Male
1972,162,Sevrl times a yr,Not applicable,Male
1972,163,Lt once a year,Not applicable,Male
1972,164,Never,Not applicable,Male
1972,165,Never,Not applicable,Male
1972,166,Never,Not applicable,Female
1972,167,Sevrl times a yr,Not applicable,Male
1972,168,Never,Not applicable,Female
1972,169,Every week,Not applicable,Female
1972,170,Every week,Not applicable,Female
1972,171,Sevrl times a yr,Not applicable,Male
1972,172,Once a year,Not applicable,Male
1972,173,Never,Not applicable,Male
1972,174,Nrly every week,Not applicable,Female
1972,175,Once a year,Not applicable,Male
1972,176,Every week,Not applicable,Male
1972,177,Every week,Not applicable,Female
1972,178,Never,Not applicable,Male
1972,179,Never,Not applicable,Female
1972,180,Once a year,Not applicable,Female
1972,181,More thn once wk,Not applicable,Female
1972,182,Once a month,Not applicable,Female
1972,183,2-3x a month,Not applicable,Male
1972,184,Every week,Not applicable,Female
1972,185,Every week,Not applicable,Male
1972,186,Every week,Not applicable,Male
1972,187,Once a month,Not applicable,Male
1972,188,Sevrl times a yr,Not applicable,Male
1972,189,Once a year,Not applicable,Female
1972,190,Every week,Not applicable,Male
1972,191,Never,Not applicable,Male
1972,192,2-3x a month,Not applicable,Male
1972,193,Once a month,Not applicable,Female
1972,194,Every week,Not applicable,Female
1972,195,Sevrl times a yr,Not applicable,Female
1972,196,Sevrl times a yr,Not applicable,Female
1972,197,Lt once a year,Not applicable,Male
1972,198,Sevrl times a yr,Not applicable,Male
1972,199,Once a month,Not applicable,Male
1972,200,Every week,Not applicable,Male
1972,201,Sevrl times a yr,Not applicable,Female
1972,202,Once a year,Not applicable,Female
1972,203,Lt once a year,Not applicable,Male
1972,204,Sevrl times a yr,Not applicable,Female
1972,205,Once a year,Not applicable,Male
1972,206,Every week,Not applicable,Female
1972,207,Sevrl times a yr,Not applicable,Female
1972,208,Sevrl times a yr,Not applicable,Male
1972,209,Lt once a year,Not applicable,Female
1972,210,Every week,Not applicable,Male
1972,211,Lt once a year,Not applicable,Male
1972,212,Never,Not applicable,Female
1972,213,Every week,Not applicable,Male
1972,214,Lt once a year,Not applicable,Female
1972,215,Never,Not applicable,Female
1972,216,Sevrl times a yr,Not applicable,Female
1972,217,Never,Not applicable,Male
1972,218,Never,Not applicable,Female
1972,219,Every week,Not applicable,Male
1972,220,Every week,Not applicable,Male
1972,221,Never,Not applicable,Male
1972,222,Every week,Not applicable,Female
1972,223,Nrly every week,Not applicable,Female
1972,224,Every week,Not applicable,Female
1972,225,Every week,Not applicable,Female
1972,226,2-3x a month,Not applicable,Male
1972,227,Nrly every week,Not applicable,Male
1972,228,Once a year,Not applicable,Male
1972,229,Every week,Not applicable,Male
1972,230,Every week,Not applicable,Male
1972,231,Lt once a year,Not applicable,Female
1972,232,More thn once wk,Not applicable,Male
1972,233,2-3x a month,Not applicable,Male
1972,234,Every week,Not applicable,Female
1972,235,2-3x a month,Not applicable,Female
1972,236,More thn once wk,Not applicable,Male
1972,237,Lt once a year,Not applicable,Female
1972,238,More thn once wk,Not applicable,Female
1972,239,More thn once wk,Not applicable,Male
1972,240,Once a year,Not applicable,Female
1972,241,2-3x a month,Not applicable,Female
1972,242,Never,Not applicable,Male
1972,243,Sevrl times a yr,Not applicable,Male
1972,244,Never,Not applicable,Male
1972,245,Every week,Not applicable,Male
1972,246,More thn once wk,Not applicable,Female
1972,247,2-3x a month,Not applicable,Female
1972,248,Every week,Not applicable,Male
1972,249,More thn once wk,Not applicable,Female
1972,250,Every week,Not applicable,Female
1972,251,Every week,Not applicable,Male
1972,252,More thn once wk,Not applicable,Female
1972,253,Every week,Not applicable,Female
1972,254,Every week,Not applicable,Male
1972,255,Every week,Not applicable,Female
1972,256,2-3x a month,Not applicable,Male
1972,257,Every week,Not applicable,Male
1972,258,2-3x a month,Not applicable,Male
1972,259,Every week,Not applicable,Female
1972,260,Lt once a year,Not applicable,Female
1972,261,Never,Not applicable,Female
1972,262,Never,Not applicable,Male
1972,263,Never,Not applicable,Male
1972,264,Once a year,Not applicable,Female
1972,265,Every week,Not applicable,Male
1972,266,Lt once a year,Not applicable,Female
1972,267,Lt once a year,Not applicable,Male
1972,268,2-3x a month,Not applicable,Female
1972,269,Every week,Not applicable,Male
1972,270,Every week,Not applicable,Female
1972,271,Every week,Not applicable,Female
1972,272,Sevrl times a yr,Not applicable,Male
1972,273,Sevrl times a yr,Not applicable,Female
1972,274,Once a year,Not applicable,Female
1972,275,Once a year,Not applicable,Male
1972,276,Once a year,Not applicable,Male
1972,277,Never,Not applicable,Male
1972,278,Once a year,Not applicable,Female
1972,279,2-3x a month,Not applicable,Female
1972,280,Lt once a year,Not applicable,Female
1972,281,Lt once a year,Not applicable,Male
1972,282,Nrly every week,Not applicable,Male
1972,283,Lt once a year,Not applicable,Male
1972,284,Every week,Not applicable,Male
1972,285,Every week,Not applicable,Female
1972,286,Every week,Not applicable,Female
1972,287,Every week,Not applicable,Male
1972,288,Every week,Not applicable,Female
1972,289,Every week,Not applicable,Female
1972,290,Every week,Not applicable,Male
1972,291,Every week,Not applicable,Female
1972,292,Never,Not applicable,Male
1972,293,Every week,Not applicable,Male
1972,294,Every week,Not applicable,Male
1972,295,Once a month,Not applicable,Male
1972,296,Every week,Not applicable,Female
1972,297,Every week,Not applicable,Male
1972,298,Nrly every week,Not applicable,Female
1972,299,More thn once wk,Not applicable,Female
1972,300,Every week,Not applicable,Female
1972,301,Every week,Not applicable,Female
1972,302,Every week,Not applicable,Female
1972,303,Lt once a year,Not applicable,Male
1972,304,2-3x a month,Not applicable,Male
1972,305,Nrly every week,Not applicable,Female
1972,306,Once a month,Not applicable,Male
1972,307,2-3x a month,Not applicable,Female
1972,308,Lt once a year,Not applicable,Female
1972,309,2-3x a month,Not applicable,Male
1972,310,More thn once wk,Not applicable,Female
1972,311,Once a month,Not applicable,Female
1972,312,Every week,Not applicable,Female
1972,313,Once a month,Not applicable,Male
1972,314,Lt once a year,Not applicable,Male
1972,315,2-3x a month,Not applicable,Male
1972,316,2-3x a month,Not applicable,Female
1972,317,Once a month,Not applicable,Male
1972,318,Lt once a year,Not applicable,Male
1972,319,Once a month,Not applicable,Female
1972,320,Sevrl times a yr,Not applicable,Male
1972,321,Every week,Not applicable,Female
1972,322,Every week,Not applicable,Female
1972,323,Never,Not applicable,Male
1972,324,Every week,Not applicable,Female
1972,325,Sevrl times a yr,Not applicable,Male
1972,326,More thn once wk,Not applicable,Female
1972,327,Sevrl times a yr,Not applicable,Male
1972,328,Once a year,Not applicable,Female
1972,329,Once a year,Not applicable,Male
1972,330,Once a month,Not applicable,Female
1972,331,Every week,Not applicable,Male
1972,332,2-3x a month,Not applicable,Female
1972,333,Nrly every week,Not applicable,Male
1972,334,Once a year,Not applicable,Male
1972,335,Nrly every week,Not applicable,Female
1972,336,Once a month,Not applicable,Male
1972,337,Every week,Not applicable,Female
1972,338,Every week,Not applicable,Female
1972,339,Once a month,Not applicable,Female
1972,340,2-3x a month,Not applicable,Female
1972,341,Sevrl times a yr,Not applicable,Male
1972,342,Every week,Not applicable,Female
1972,343,2-3x a month,Not applicable,Female
1972,344,2-3x a month,Not applicable,Male
1972,345,2-3x a month,Not applicable,Female
1972,346,2-3x a month,Not applicable,Male
1972,347,More thn once wk,Not applicable,Female
1972,348,Never,Not applicable,Male
1972,349,Every week,Not applicable,Male
1972,350,Every week,Not applicable,Female
1972,351,Every week,Not applicable,Female
1972,352,Once a year,Not applicable,Male
1972,353,Once a year,Not applicable,Male
1972,354,Every week,Not applicable,Female
1972,355,More thn once wk,Not applicable,Female
1972,356,2-3x a month,Not applicable,Male
1972,357,2-3x a month,Not applicable,Male
1972,358,More thn once wk,Not applicable,Female
1972,359,Every week,Not applicable,Female
1972,360,2-3x a month,Not applicable,Male
1972,361,Every week,Not applicable,Male
1972,362,More thn once wk,Not applicable,Male
1972,363,Once a month,Not applicable,Female
1972,364,Every week,Not applicable,Female
1972,365,Nrly every week,Not applicable,Female
1972,366,Every week,Not applicable,Male
1972,367,Once a month,Not applicable,Male
1972,368,Once a year,Not applicable,Male
1972,369,Every week,Not applicable,Male
1972,370,Every week,Not applicable,Female
1972,371,Sevrl times a yr,Not applicable,Male
1972,372,Sevrl times a yr,Not applicable,Female
1972,373,Sevrl times a yr,Not applicable,Female
1972,374,Every week,Not applicable,Female
1972,375,More thn once wk,Not applicable,Male
1972,376,2-3x a month,Not applicable,Male
1972,377,Once a year,Not applicable,Male
1972,378,Every week,Not applicable,Male
1972,379,Lt once a year,Not applicable,Female
1972,380,2-3x a month,Not applicable,Female
1972,381,Every week,Not applicable,Male
1972,382,Every week,Not applicable,Male
1972,383,Sevrl times a yr,Not applicable,Female
1972,384,More thn once wk,Not applicable,Female
1972,385,Every week,Not applicable,Female
1972,386,Sevrl times a yr,Not applicable,Female
1972,387,Once a year,Not applicable,Male
1972,388,Every week,Not applicable,Male
1972,389,Every week,Not applicable,Female
1972,390,Every week,Not applicable,Male
1972,391,Sevrl times a yr,Not applicable,Male
1972,392,2-3x a month,Not applicable,Female
1972,393,Sevrl times a yr,Not applicable,Female
1972,394,Every week,Not applicable,Female
1972,395,2-3x a month,Not applicable,Female
1972,396,Every week,Not applicable,Female
1972,397,More thn once wk,Not applicable,Male
1972,398,Sevrl times a yr,Not applicable,Male
1972,399,Every week,Not applicable,Male
1972,400,More thn once wk,Not applicable,Male
1972,401,Lt once a year,Not applicable,Male
1972,402,Lt once a year,Not applicable,Male
1972,403,More thn once wk,Not applicable,Male
1972,404,More thn once wk,Not applicable,Female
1972,405,2-3x a month,Not applicable,Female
1972,406,Lt once a year,Not applicable,Female
1972,407,Once a month,Not applicable,Female
1972,408,Nrly every week,Not applicable,Female
1972,409,Every week,Not applicable,Female
1972,410,Sevrl times a yr,Not applicable,Female
1972,411,Once a month,Not applicable,Male
1972,412,Once a month,Not applicable,Male
1972,413,Nrly every week,Not applicable,Male
1972,414,Every week,Not applicable,Male
1972,415,Never,Not applicable,Male
1972,416,Sevrl times a yr,Not applicable,Female
1972,417,Every week,Not applicable,Male
1972,418,Every week,Not applicable,Female
1972,419,More thn once wk,Not applicable,Female
1972,420,Once a year,Not applicable,Female
1972,421,Once a month,Not applicable,Male
1972,422,Every week,Not applicable,Male
1972,423,Every week,Not applicable,Male
1972,424,Nrly every week,Not applicable,Male
1972,425,2-3x a month,Not applicable,Female
1972,426,Every week,Not applicable,Female
1972,427,Once a month,Not applicable,Male
1972,428,More thn once wk,Not applicable,Female
1972,429,Once a year,Not applicable,Male
1972,430,Sevrl times a yr,Not applicable,Female
1972,431,Never,Not applicable,Female
1972,432,Every week,Not applicable,Female
1972,433,Every week,Not applicable,Male
1972,434,Every week,Not applicable,Male
1972,435,Lt once a year,Not applicable,Female
1972,436,Never,Not applicable,Female
1972,437,Every week,Not applicable,Male
1972,438,More thn once wk,Not applicable,Male
1972,439,More thn once wk,Not applicable,Male
1972,440,Never,Not applicable,Female
1972,441,Once a month,Not applicable,Female
1972,442,Never,Not applicable,Male
1972,443,Once a year,Not applicable,Male
1972,444,Every week,Not applicable,Male
1972,445,Lt once a year,Not applicable,Female
1972,446,Once a month,Not applicable,Male
1972,447,Once a year,Not applicable,Male
1972,448,Sevrl times a yr,Not applicable,Female
1972,449,2-3x a month,Not applicable,Female
1972,450,Once a month,Not applicable,Female
1972,451,Sevrl times a yr,Not applicable,Female
1972,452,Once a year,Not applicable,Male
1972,453,Every week,Not applicable,Male
1972,454,Once a year,Not applicable,Male
1972,455,Once a month,Not applicable,Male
1972,456,Every week,Not applicable,Female
1972,457,Every week,Not applicable,Female
1972,458,Every week,Not applicable,Female
1972,459,Every week,Not applicable,Male
1972,460,"Dk,na",Not applicable,Female
1972,461,Every week,Not applicable,Male
1972,462,Sevrl times a yr,Not applicable,Female
1972,463,Once a year,Not applicable,Male
1972,464,Never,Not applicable,Male
1972,465,Once a year,Not applicable,Female
1972,466,Lt once a year,Not applicable,Female
1972,467,2-3x a month,Not applicable,Female
1972,468,Once a month,Not applicable,Female
1972,469,Nrly every week,Not applicable,Male
1972,470,Lt once a year,Not applicable,Male
1972,471,Never,Not applicable,Male
1972,472,2-3x a month,Not applicable,Female
1972,473,Every week,Not applicable,Female
1972,474,Every week,Not applicable,Female
1972,475,Once a month,Not applicable,Female
1972,476,Every week,Not applicable,Male
1972,477,Sevrl times a yr,Not applicable,Male
1972,478,Nrly every week,Not applicable,Male
1972,479,Once a month,Not applicable,Female
1972,480,Every week,Not applicable,Male
1972,481,Once a month,Not applicable,Male
1972,482,Every week,Not applicable,Female
1972,483,More thn once wk,Not applicable,Female
1972,484,Sevrl times a yr,Not applicable,Male
1972,485,Nrly every week,Not applicable,Male
1972,486,Every week,Not applicable,Female
1972,487,Every week,Not applicable,Male
1972,488,Never,Not applicable,Female
1972,489,Every week,Not applicable,Male
1972,490,More thn once wk,Not applicable,Female
1972,491,Lt once a year,Not applicable,Male
1972,492,Lt once a year,Not applicable,Female
1972,493,Nrly every week,Not applicable,Female
1972,494,Every week,Not applicable,Female
1972,495,Every week,Not applicable,Male
1972,496,Once a month,Not applicable,Female
1972,497,Sevrl times a yr,Not applicable,Female
1972,498,Lt once a year,Not applicable,Male
1972,499,Nrly every week,Not applicable,Female
1972,500,Every week,Not applicable,Female
1972,501,Lt once a year,Not applicable,Male
1972,502,Never,Not applicable,Male
1972,503,Sevrl times a yr,Not applicable,Male
1972,504,Every week,Not applicable,Female
1972,505,Once a month,Not applicable,Female
1972,506,Every week,Not applicable,Female
1972,507,2-3x a month,Not applicable,Male
1972,508,Sevrl times a yr,Not applicable,Male
1972,509,Once a month,Not applicable,Male
1972,510,Once a year,Not applicable,Male
1972,511,2-3x a month,Not applicable,Male
1972,512,Sevrl times a yr,Not applicable,Female
1972,513,Sevrl times a yr,Not applicable,Female
1972,514,Once a year,Not applicable,Male
1972,515,Every week,Not applicable,Female
1972,516,Every week,Not applicable,Female
1972,517,Every week,Not applicable,Female
1972,518,Lt once a year,Not applicable,Male
1972,519,Once a year,Not applicable,Male
1972,520,2-3x a month,Not applicable,Male
1972,521,Every week,Not applicable,Female
1972,522,Every week,Not applicable,Female
1972,523,Every week,Not applicable,Male
1972,524,Lt once a year,Not applicable,Male
1972,525,Never,Not applicable,Male
1972,526,Every week,Not applicable,Female
1972,527,Never,Not applicable,Male
1972,528,Once a year,Not applicable,Female
1972,529,Never,Not applicable,Female
1972,530,Never,Not applicable,Female
1972,531,Every week,Not applicable,Male
1972,532,Every week,Not applicable,Female
1972,533,Every week,Not applicable,Male
1972,534,Sevrl times a yr,Not applicable,Female
1972,535,Once a month,Not applicable,Female
1972,536,Sevrl times a yr,Not applicable,Male
1972,537,Sevrl times a yr,Not applicable,Male
1972,538,Sevrl times a yr,Not applicable,Male
1972,539,Every week,Not applicable,Female
1972,540,Sevrl times a yr,Not applicable,Male
1972,541,2-3x a month,Not applicable,Female
1972,542,Lt once a year,Not applicable,Female
1972,543,Every week,Not applicable,Male
1972,544,Sevrl times a yr,Not applicable,Female
1972,545,Nrly every week,Not applicable,Female
1972,546,Every week,Not applicable,Male
1972,547,Never,Not applicable,Male
1972,548,Every week,Not applicable,Female
1972,549,Every week,Not applicable,Female
1972,550,Nrly every week,Not applicable,Female
1972,551,Every week,Not applicable,Male
1972,552,Nrly every week,Not applicable,Female
1972,553,Every week,Not applicable,Male
1972,554,Every week,Not applicable,Male
1972,555,Nrly every week,Not applicable,Male
1972,556,Every week,Not applicable,Female
1972,557,Every week,Not applicable,Female
1972,558,Every week,Not applicable,Female
1972,559,Once a year,Not applicable,Female
1972,560,Nrly every week,Not applicable,Male
1972,561,Never,Not applicable,Female
1972,562,More thn once wk,Not applicable,Male
1972,563,Lt once a year,Not applicable,Male
1972,564,Every week,Not applicable,Male
1972,565,Once a month,Not applicable,Male
1972,566,Every week,Not applicable,Male
1972,567,Sevrl times a yr,Not applicable,Female
1972,568,Nrly every week,Not applicable,Female
1972,569,Every week,Not applicable,Female
1972,570,Every week,Not applicable,Female
1972,571,Every week,Not applicable,Female
1972,572,Every week,Not applicable,Female
1972,573,Nrly every week,Not applicable,Male
1972,574,Sevrl times a yr,Not applicable,Male
1972,575,Sevrl times a yr,Not applicable,Male
1972,576,Every week,Not applicable,Female
1972,577,Every week,Not applicable,Male
1972,578,Nrly every week,Not applicable,Female
1972,579,Nrly every week,Not applicable,Male
1972,580,Once a month,Not applicable,Female
1972,581,Sevrl times a yr,Not applicable,Male
1972,582,Every week,Not applicable,Female
1972,583,Every week,Not applicable,Male
1972,584,Every week,Not applicable,Male
1972,585,Every week,Not applicable,Male
1972,586,Once a year,Not applicable,Male
1972,587,Every week,Not applicable,Female
1972,588,Every week,Not applicable,Male
1972,589,Nrly every week,Not applicable,Female
1972,590,Every week,Not applicable,Female
1972,591,Every week,Not applicable,Female
1972,592,Once a year,Not applicable,Male
1972,593,Never,Not applicable,Male
1972,594,Never,Not applicable,Male
1972,595,Never,Not applicable,Female
1972,596,Nrly every week,Not applicable,Male
1972,597,Sevrl times a yr,Not applicable,Female
1972,598,2-3x a month,Not applicable,Female
1972,599,Sevrl times a yr,Not applicable,Male
1972,600,2-3x a month,Not applicable,Female
1972,601,Sevrl times a yr,Not applicable,Male
1972,602,Sevrl times a yr,Not applicable,Male
1972,603,More thn once wk,Not applicable,Female
1972,604,Every week,Not applicable,Female
1972,605,More thn once wk,Not applicable,Female
1972,606,More thn once wk,Not applicable,Female
1972,607,More thn once wk,Not applicable,Female
1972,608,Sevrl times a yr,Not applicable,Male
1972,609,Sevrl times a yr,Not applicable,Male
1972,610,Every week,Not applicable,Female
1972,611,More thn once wk,Not applicable,Female
1972,612,Once a year,Not applicable,Female
1972,613,Nrly every week,Not applicable,Female
1972,614,Once a month,Not applicable,Male
1972,615,Nrly every week,Not applicable,Male
1972,616,Every week,Not applicable,Male
1972,617,Never,Not applicable,Male
1972,618,Every week,Not applicable,Female
1972,619,Every week,Not applicable,Female
1972,620,Every week,Not applicable,Female
1972,621,Every week,Not applicable,Female
1972,622,Every week,Not applicable,Male
1972,623,Every week,Not applicable,Male
1972,624,Every week,Not applicable,Male
1972,625,Never,Not applicable,Female
1972,626,Every week,Not applicable,Female
1972,627,2-3x a month,Not applicable,Female
1972,628,Every week,Not applicable,Female
1972,629,Once a month,Not applicable,Male
1972,630,Nrly every week,Not applicable,Male
1972,631,Every week,Not applicable,Male
1972,632,Sevrl times a yr,Not applicable,Male
1972,633,Sevrl times a yr,Not applicable,Female
1972,634,Never,Not applicable,Male
1972,635,Every week,Not applicable,Female
1972,636,Once a month,Not applicable,Female
1972,637,Lt once a year,Not applicable,Male
1972,638,Every week,Not applicable,Male
1972,639,Never,Not applicable,Female
1972,640,Lt once a year,Not applicable,Male
1972,641,Nrly every week,Not applicable,Female
1972,642,Lt once a year,Not applicable,Female
1972,643,Lt once a year,Not applicable,Female
1972,644,Every week,Not applicable,Male
1972,645,Lt once a year,Not applicable,Male
1972,646,Once a month,Not applicable,Male
1972,647,Every week,Not applicable,Male
1972,648,Once a month,Not applicable,Female
1972,649,2-3x a month,Not applicable,Male
1972,650,Lt once a year,Not applicable,Male
1972,651,Once a year,Not applicable,Female
1972,652,Once a year,Not applicable,Female
1972,653,Once a year,Not applicable,Female
1972,654,Once a year,Not applicable,Male
1972,655,Once a month,Not applicable,Female
1972,656,Lt once a year,Not applicable,Female
1972,657,Once a year,Not applicable,Male
1972,658,Sevrl times a yr,Not applicable,Female
1972,659,2-3x a month,Not applicable,Female
1972,660,Lt once a year,Not applicable,Male
1972,661,Never,Not applicable,Male
1972,662,Every week,Not applicable,Male
1972,663,Every week,Not applicable,Male
1972,664,Nrly every week,Not applicable,Female
1972,665,Every week,Not applicable,Female
1972,666,Lt once a year,Not applicable,Male
1972,667,Sevrl times a yr,Not applicable,Female
1972,668,Never,Not applicable,Male
1972,669,Every week,Not applicable,Female
1972,670,Sevrl times a yr,Not applicable,Male
1972,671,Lt once a year,Not applicable,Male
1972,672,Lt once a year,Not applicable,Male
1972,673,Every week,Not applicable,Female
1972,674,Every week,Not applicable,Female
1972,675,Sevrl times a yr,Not applicable,Male
1972,676,Sevrl times a yr,Not applicable,Male
1972,677,Every week,Not applicable,Male
1972,678,Never,Not applicable,Male
1972,679,Lt once a year,Not applicable,Female
1972,680,2-3x a month,Not applicable,Female
1972,681,Once a year,Not applicable,Male
1972,682,Never,Not applicable,Female
1972,683,Once a year,Not applicable,Female
1972,684,Once a year,Not applicable,Female
1972,685,Never,Not applicable,Male
1972,686,Never,Not applicable,Male
1972,687,Once a month,Not applicable,Male
1972,688,Every week,Not applicable,Female
1972,689,Sevrl times a yr,Not applicable,Female
1972,690,Once a year,Not applicable,Female
1972,691,Sevrl times a yr,Not applicable,Male
1972,692,Once a month,Not applicable,Female
1972,693,Never,Not applicable,Male
1972,694,Never,Not applicable,Female
1972,695,Every week,Not applicable,Female
1972,696,Every week,Not applicable,Male
1972,697,Once a year,Not applicable,Male
1972,698,More thn once wk,Not applicable,Female
1972,699,Lt once a year,Not applicable,Female
1972,700,Never,Not applicable,Female
1972,701,Once a month,Not applicable,Male
1972,702,Once a month,Not applicable,Male
1972,703,Every week,Not applicable,Male
1972,704,More thn once wk,Not applicable,Male
